1.77,历尽艰辛来到这家咖啡厅
3.65,Lucky Boys and Girls
6.11,我会用精致豪华的菜肴款待你们
9.56,Oh Just for You  请一定 一定来尝尝
13.115,敬待与你相遇的那一天  谢谢
17.12,结局南极北极都不对 Tell Me
21.15,一定存在与世界的某处
25.82,传闻中的咖啡厅到底在何方 Research
32.12,就在彼时  邮箱里的白色信封
39.685,其中深藏的是  他的秘密食谱
47.815,来了！(゜▽゜*)♪给我的招待券
55.26,世界期待着交流
60.045,历尽艰辛来到这家咖啡厅
62.24,Lucky Boys and Girls
64.725,我会用精致豪华的菜肴款待你们
68.235,Oh Just for You 请一定一定来尝尝  能消释白天的疲倦
72.01,留下治愈的笑容  谢谢
74.905,喝吧  摩卡  拿铁  欧蕾咖啡  茶
78.335,再加上冰激凌和松饼
82.105,喝吧 草莓 芒果 奶昔
85.66,偶尔吃点竹子  可以减肥
88.295,谢谢  谢谢  谢谢
103.0,パンダくん　張り切る *** 熊猫干劲十足
115.625,どうしたの？　パンダくん *** 怎么啦  熊猫
117.85,元気ないですね *** 没有什么精神呢
120.485,実はさ…　常勤パンダさんが *** 因为…　专职熊猫他啊
124.84,親戚の結婚式で　しばらく 実家の中国に帰るんだって *** 要去参加亲戚的结婚典礼　暂时回老家中国去了
128.76,なんで　それで 元気ないの？ *** 那为什么你会没精神呢
130.64,それがね…(′；ω；｀) *** 因为……
133.32,１週間留守にするからって *** 他一周都不在
136.73,代わりにバイト　フルに 入ることになっちゃったんだよ *** 所以我的兼职就变成了一整周啦
141.13,動物園のバイト？ *** 动物园的兼职吗
142.675,そう *** 嗯
144.545,でも　たった１週間でしょ？ *** 但是　也只有一周吧
147.485,１週間も　だよ～ *** 是整整一周啊(>_<)
151.365,早起きできるかな…　しかも毎日 *** 我早上起不起得来啊…  而且是连着七天
154.975,自信がないよ *** 我没有自信的啦
158.775,大変なのは早起きじゃなくて 満員電車じゃない？ *** 辛苦的不是早起　而是满员电车吧
163.195,満員電車？ *** 满员电车
166.16,朝　会社に行く人たちで電車がいっぱいになるのが *** 电车里挤满了早起去上班的人
168.845,満員電車だよ *** 就叫满员电车啊
173.225,僕ら　コウテイペンギンは 慣れてるからいいけど… *** 我们帝企鹅都已经习惯了　所以还好……
176.64,え？　ペンギンさんも電車　乗るの？ *** 诶　企鹅也坐电车吗
178.8,違うよ(-_-;) *** 不是啦
182.525,南極じゃ　みんな集まって 子育てするから *** 在南极　大家都是聚集在一起带小孩的
185.845,もう　満員電車並みの混雑だよ *** 拥挤的跟满员电车有一拼啊
189.3,みんな おしくらまんじゅう状態だもんね *** 大家就跟在玩挤来挤去游戏一样
192.67,おしくらまんじゅう？ *** 挤来挤去游戏
200.455,楽しそうだね(#^.^#) *** 好像很有趣呢
204.535,なんだか　楽しみになってきたよ *** 我有点期待了
207.715,早く帰って　明日に備えなくちゃ *** 得快点回去　为明天做准备啊
211.605,じゃあ…　ごちそうさま *** 那么　多谢款待啦
217.025,大丈夫かな… *** 他没有问题吧
222.975,あ…　早く　早く *** 啊…　来不及了　来不及了
226.3,急がないと 満員電車に乗れないよ *** 再不快点就赶不上满员电车啦
232.51,おはよう　パンダくん *** 早啊　熊猫
235.465,预计今日到货的花 *** 小百合 *** 芫荽 *** 牡丹(又名：ハイマツゲボタン) *** etc
234.565,おはようございま～す *** 早上好
237.44,バイト？　頑張ってね～ *** 去打工吗　要加油哦
240.835,行ってきま～す *** 我走啦
245.955,すみませ～ん *** 打扰了
